,IPE,European Narrow flange beams to Euronorm 89,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
49,45,IPE 400 O,75.7,404,182,9.7,15.5,21,331,5.87,34.1,26750,1564,16.7,4.03,1324,172,1502,269,0.882,25.2,0.59,73.3,96.4
50,46,IPE 400 R,81.5,407,178,10.6,17,21,331,5.24,31.2,28860,1606,16.7,3.93,1418,180,1618,284,0.881,23.4,0.611,92.5,104
51,47,IPE 400 V,84,408,182,10.6,17.5,21,331,5.2,31.2,30140,1766,16.8,4.06,1477,194,1681,304,0.884,22.9,0.673,99.6,107
52,48,IPE 450 A,67.2,447,190,7.6,13.1,21,378.8,7.25,49.8,29760,1502,18.7,4.19,1331,158,1494,246,0.886,33.1,0.707,47.1,85.5
53,49,IPE 450,77.6,450,190,9.4,14.6,21,378.8,6.51,40.3,33740,1676,18.5,4.12,1500,176,1702,276,0.878,30,0.794,66.7,98.8
54,50,IPE 450 O,92.4,456,192,11,17.6,21,378.8,5.45,34.4,40920,2085,18.6,4.21,1795,217,2046,341,0.879,25.8,1,109,118
55,51,IPE 450 R,95.2,458,188,11.3,18.6,21,378.8,5.05,33.5,42400,2070,18.7,4.13,1851,220,2115,346,0.88,24.7,0.999,123,121
56,52,IPE 450 V,103.6,460,194,12.4,19.6,21,378.8,4.95,30.5,46200,2397,18.7,4.26,2009,247,2301,389,0.878,23.5,1.16,149,132
57,53,IPE 500 A,79.4,497,200,8.4,14.5,21,426,6.9,50.7,42930,1939,20.6,4.38,1728,194,1946,302,0.883,34.2,1.13,64.3,101
58,54,IPE 500,90.7,500,200,10.2,16,21,426,6.25,41.8,48200,2142,20.4,4.31,1928,214,2194,336,0.876,31.2,1.25,89.1,116
59,55,IPE 500 O,107.3,506,202,12,19,21,426,5.32,35.5,57780,2622,20.6,4.38,2284,260,2613,409,0.876,27,1.55,143,137
60,56,IPE 500 R,111.4,508,198,12.6,20,21,426,4.95,33.8,59930,2600,20.5,4.28,2360,263,2709,415,0.875,25.8,1.55,162,142
61,57,IPE 500 V,128.8,514,204,14.2,23,21,426,4.43,30,70720,3271,20.8,4.47,2752,321,3168,507,0.876,22.9,1.97,242,164
62,58,IPE 550 A,92.1,547,210,9,15.7,24,467.6,6.69,52,59980,2432,22.6,4.55,2193,232,2475,362,0.882,34.5,1.72,89.3,117
63,59,IPE 550,105.5,550,210,11.1,17.2,24,467.6,6.1,42.1,67120,2668,22.3,4.45,2441,254,2787,401,0.873,31.5,1.89,123,134
64,60,IPE 550 O,122.5,556,212,12.7,20.2,24,467.6,5.25,36.8,79160,3224,22.5,4.55,2847,304,3263,481,0.874,27.7,2.31,187,156
65,61,IPE 550 R,133.7,560,210,14,22.2,24,467.6,4.73,33.4,86600,3447,22.5,4.5,3093,328,3562,521,0.873,25.6,2.49,242,170
66,62,IPE 550 V,158.6,566,216,17.1,25.2,24,467.6,4.29,27.3,102300,4265,22.5,4.6,3616,395,4205,632,0.868,22.5,3.12,372,202
67,63,IPE 600 A,107.6,597,220,9.8,17.5,24,514,6.29,52.4,82920,3116,24.6,4.77,2778,283,3141,442,0.881,34.7,2.62,122,137
68,64,IPE 600,122.4,600,220,12,19,24,514,5.79,42.8,92080,3387,24.3,4.66,3069,308,3512,486,0.872,32,2.86,165,156
69,65,IPE 600 O,154.5,610,224,15,24,24,514,4.67,34.3,118300,4521,24.5,4.79,3879,404,4471,640,0.872,26.2,3.88,316,197
70,66,IPE 600 R,144.4,608,218,14,23,24,514,4.74,36.7,110300,3993,24.5,4.66,3629,366,4175,580,0.873,27.3,3.42,271,184
71,67,IPE 600 V,183.5,618,228,18,28,24,514,4.07,28.6,141600,5570,24.6,4.88,4582,489,5324,780,0.87,22.7,4.85,506,234
72,68,IPE 750 x 137,137,753,263,11.5,17,17,685,7.74,59.6,159900,5166,30.3,5.44,4246,393,4865,614,0.863,47.3,7,135,175
73,69,IPE 750 x 147,147.2,753,265,13.2,17,17,685,7.79,51.9,166100,5289,29.8,5.31,4411,399,5110,631,0.854,45.5,7.16,157,187
74,70,IPE 750 x 161,160.5,758,266,13.8,19.3,17,685.4,6.89,49.7,186100,6073,30.2,5.45,4909,457,5666,720,0.859,41.5,8.28,208,204
75,71,IPE 750 x 174,173.7,762,267,14.4,21.6,17,684.8,6.18,47.6,205800,6873,30.5,5.57,5402,515,6218,810,0.864,37.9,9.42,270,221
76,72,IPE 750 x185,185,766,267,14.9,23.6,17,684.8,5.66,46,223000,7510,30.8,5.65,5821,563,6691,884,0.867,35.3,10.3,334,236
77,73,IPE 750 x 197,196.9,770,268,15.6,25.4,17,685.2,5.28,43.9,240300,8175,31,5.71,6241,610,7174,959,0.869,33.1,11.3,406,251
78,74,IPE 750 x 210,210.1,775,268,16,28,17,685,4.79,42.8,262200,9011,31.3,5.8,6765,672,7762,1054,0.874,30.6,12.6,512,268
79,75,IPE 750 x 223,222.5,778,269,17,29.5,17,685,4.56,40.3,278200,9604,31.3,5.82,7152,714,8225,1122,0.873,29.1,13.5,601,283
