,SHS HF,Hot finished Square Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,UK Edition,Unnamed: 14
0,,Designation,,Mass,Area,Ratios for,,Second,Radius,Elastic,Plastic,Torsional,,Surface,Approx
1,,Size,Thickness,per,of,Local Buckling,,Moment,of,Modulus,Modulus,Constants,,Area,Length
2,,D x B,t,metre,Section,Flange,Web,of Area,Gyration,,,,,of,per
3,,,,,A,,,I,r,Z,S,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2,b/t,d/t,cm4,cm,cm3,cm3,cm4,cm3,m2/m,m
98,187,200x200,10,58.8,74.9,17,17,4471,7.72,447,531,7031,655,0.774,17
99,189,200x200,12,69.6,88.7,13.7,13.7,5171,7.64,517,621,8208,754,0.769,14.4
100,191,200x200,12.5,72.3,92.1,13,13,5336,7.61,534,643,8491,778,0.768,13.8
101,193,200x200,16,90.3,115,9.5,9.5,6394,7.46,639,785,10340,927,0.759,11.1
102,195,250x250,5,38.3,48.7,47,47,4861,9.99,389,447,7430,577,0.987,26.1
103,197,250x250,6,45.7,58.2,38.7,38.7,5752,9.94,460,531,8825,681,0.985,21.9
104,199,250x250,6.3,47.9,61,36.7,36.7,6014,9.93,481,556,9238,712,0.984,20.9
105,201,250x250,8,60.3,76.8,28.3,28.3,7455,9.86,596,694,11530,880,0.979,16.6
106,203,250x250,10,74.5,94.9,22,22,9055,9.77,724,851,14110,1065,0.974,13.4
107,205,250x250,12,88.5,113,17.8,17.8,10560,9.68,844,1000,16570,1237,0.969,11.3
108,207,250x250,12.5,91.9,117,17,17,10920,9.66,873,1037,17160,1279,0.968,10.9
109,209,250x250,16,115,147,12.6,12.6,13270,9.5,1061,1280,21140,1546,0.959,8.67
110,211,300x300,6,55.1,70.2,47,47,10080,12,672,772,15410,997,1.18,18.2
111,213,300x300,6.3,57.8,73.6,44.6,44.6,10550,12,703,809,16140,1043,1.18,17.3
112,215,300x300,8,72.8,92.8,34.5,34.5,13130,11.9,875,1013,20190,1294,1.18,13.7
113,217,300x300,10,90.2,115,27,27,16030,11.8,1068,1246,24810,1575,1.17,11.1
114,219,300x300,12,107,137,22,22,18780,11.7,1252,1470,29250,1840,1.17,9.32
115,221,300x300,12.5,112,142,21,21,19440,11.7,1296,1525,30330,1904,1.17,8.97
116,223,300x300,16,141,179,15.8,15.8,23850,11.5,1590,1895,37620,2325,1.16,7.12
117,225,350x350,8,85.4,109,40.8,40.8,21130,13.9,1207,1392,32380,1789,1.38,11.7
118,227,350x350,10,106,135,32,32,25880,13.9,1479,1715,39890,2185,1.37,9.44
119,229,350x350,12,126,161,26.2,26.2,30430,13.8,1739,2030,47150,2563,1.37,7.93
120,231,350x350,12.5,131,167,25,25,31540,13.7,1802,2107,48930,2654,1.37,7.62
121,233,350x350,16,166,211,18.9,18.9,38940,13.6,2225,2630,60990,3264,1.36,6.04
122,235,400x400,8,97.9,125,47,47,31860,16,1593,1830,48690,2363,1.58,10.2
123,237,400x400,10,122,155,37,37,39130,15.9,1956,2260,60090,2895,1.57,8.22
124,239,400x400,12,145,185,30.3,30.3,46130,15.8,2306,2679,71180,3405,1.57,6.9
125,241,400x400,12.5,151,192,29,29,47840,15.8,2392,2782,73910,3530,1.57,6.63
126,243,400x400,16,191,243,22,22,59340,15.6,2967,3484,92440,4362,1.56,5.24
127,245,400x400‡,20,235,300,17,17,71530,15.4,3577,4247,112500,5237,1.55,4.25
