,UB,Universal Beams to BS4 Part1 1993 - Dimensions & Properties,wt,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,section,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
5,1,914x419x388,388,921,420.5,21.4,36.6,24.1,799.6,5.74,37.4,719600,45440,38.2,9.59,15630,2161,17670,3341,0.885,26.7,88.9,1734,494
6,2,914x419x343,343.3,911.8,418.5,19.4,32,24.1,799.6,6.54,41.2,625800,39160,37.8,9.46,13730,1871,15480,2890,0.883,30.1,75.8,1193,437
7,3,914x305x289,289.1,926.6,307.7,19.5,32,19.1,824.4,4.81,42.3,504200,15600,37,6.51,10880,1014,12570,1601,0.867,31.9,31.2,926,368
8,4,914x305x253,253.4,918.4,305.5,17.3,27.9,19.1,824.4,5.47,47.7,436300,13300,36.8,6.42,9501,871,10940,1371,0.866,36.2,26.4,626,323
9,5,914x305x224,224.2,910.4,304.1,15.9,23.9,19.1,824.4,6.36,51.8,376400,11240,36.3,6.27,8269,739,9535,1163,0.861,41.3,22.1,422,286
10,6,914x305x201,200.9,903,303.3,15.1,20.2,19.1,824.4,7.51,54.6,325300,9423,35.7,6.07,7204,621,8351,982,0.854,46.8,18.4,291,256
