,Version,Revision History
0,Home,Version 000722 issued showing Properties and List of Sections known to be available in and from the UK.
1,,"Version 000825 issued to: a) Correct error in the width of 102x44x7 kg RSJ and b) Report values to 6 decimal places for Warping Constant ""H"" of PFC sections for improving accuracy in calculations."
