,BF,Bulb Flats,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Width,Thickness,Mass,Bulb,Bulb,Bulb,Area of,Surface,Distance,Distance,Second moment,,Elastic,,Radius of,,Warping,Torsional
1,,,,per unit,Height,Width,Radius,Cross,,of Centre,of Centre,of area,,Modulus,,Gyration,,Constant,Constant
2,,,,length,,,,section,Area,of Gravity,of Gravity,Axis,Axis,Axis,Axis,Axis,Axis,,
3,,b,t,G,c,d,r1,F,U,Cx,Cy,x -x,y - y,x -x,y - y,x -x,y - y,H*,J
4,Home,mm,mm,kg/m,mm,mm,mm,cm2,m2/m,mm,mm,cm4,cm4,cm3,cm3,cm,cm,cm6 x 106,cm4
48,44,340,13,48.8,49,52,15,62.2,0.774,213,14.3,7160,131.5,335,92,10.73,1.45,132,77.02
49,45,340,14,51.5,49,52,15,65.5,0.776,211,14.6,7540,138.6,357,94.9,10.73,1.45,133,83
50,46,340,15,54.2,49,52,15,69,0.778,209,14.8,7920,145.9,379,98.6,10.71,1.45,135,91.3
51,47,370,12.5,53.1,53.5,56.9,16.5,67.8,0.839,236,15.4,9213,172.3,390,112,11.66,1.59,221,97.66
52,48,370,13,54.6,53.5,56.9,16.5,69.6,0.84,235,15.4,9470,176.7,402,115,11.66,1.59,221,100.7
53,49,370,14,57.5,53.5,56.9,16.5,73.3,0.842,232,15.6,9980,185.7,428,119,11.67,1.59,223,108.1
54,50,370,15,60.5,53.5,56.9,16.5,77,0.844,230,15.9,10490,194.8,455,123,11.67,1.59,225,116.6
55,51,370,16,63.5,53.5,56.9,16.5,80.7,0.846,228,16.1,10980,204.3,481,127,11.66,1.59,227,126
56,52,400,13,60.8,58,61.9,18,77.4,0.907,258,16.6,12280,232.4,476,140,12.6,1.73,357,131
57,53,400,14,63.9,58,61.9,18,81.4,0.908,255,16.8,12930,243.6,507,145,12.6,1.73,359,139.3
58,54,400,15,67,58,61.9,18,85.4,0.91,252,17,13580,255,537,150,12.61,1.73,362,148.7
59,55,400,16,70.2,58,61.9,18,89.4,0.912,250,17.2,14220,266.6,568,155,12.61,1.73,364,159.6
60,56,430,14,70.6,62.5,66.8,19.5,89.7,0.975,277,17.9,16460,313.9,594,175,13.55,1.87,557,176.6
61,57,430,15,73.9,62.5,66.8,19.5,94.1,0.976,274,18.1,17260,327.9,628,181,13.54,1.87,562,187.9
62,58,430,17,80.6,62.5,66.8,19.5,103,0.98,269,18.5,18860,356.7,700,193,13.53,1.86,576,215.6
63,59,430,20,90.8,62.5,66.8,19.5,115,0.986,263,19.3,21180,402.6,804,209,13.57,1.87,570,252.6
