,HE,European Wide Flange Beams in Accordance with Euronorm 53-62,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,,,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
1,,,per,of,of,Web,Flange,Radius,between,Local Buckling,,of Area,,of Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
2,,Designation,metre,Section,Section,,,,fillets,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,,,Section
3,,, ,h,b,s,t,r,d,b/2t,d/s,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,u,x,H,J,A
4,Home,,kg/m,mm,mm,mm,mm,mm,mm, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3, , ,dm6,cm4,cm2
85,81,HE 650 A,189.7,640,300,13.5,26,27,534,5.77,39.6,175200,11720,26.9,6.97,5474,782,6136,1205,0.894,25.3,11,458,242
86,82,HE 650 B,224.8,650,300,16,31,27,534,4.84,33.4,210600,13980,27.1,6.99,6480,932,7320,1441,0.893,21.7,13.4,749,286
87,83,HE 650 M,293.4,668,305,21,40,27,534,3.81,25.4,281700,18980,27.5,7.13,8433,1245,9657,1936,0.891,17.3,18.7,1584,374
88,84,HE 700 AA,149.9,670,300,13,17,27,582,8.82,44.8,142700,7673,27.3,6.34,4260,512,4840,800,0.869,37.4,8.18,186,191
89,85,HE 700 x 166,166.2,678,300,12.5,21,27,582,7.14,46.6,168900,9471,28.2,6.69,4982,631,5598,978,0.884,32.7,10.2,274,212
90,86,HE 700 A,204.5,690,300,14.5,27,27,582,5.56,40.1,215300,12180,28.8,6.84,6241,812,7032,1257,0.889,26.5,13.4,522,260
91,87,HE 700 B,240.5,700,300,17,32,27,582,4.69,34.2,256900,14440,29,6.87,7340,963,8327,1495,0.889,22.8,16.1,839,306
92,88,HE 700 M,300.7,716,304,21,40,27,582,3.8,27.7,329300,18800,29.3,7.01,9198,1237,10540,1929,0.889,18.8,21.5,1595,383
93,89,HE 800 AA,171.5,770,300,14,18,30,674,8.33,48.1,208900,8134,30.9,6.1,5426,542,6225,857,0.862,40.4,11.5,243,218
94,90,HE 800 A,224.4,790,300,15,28,30,674,5.36,44.9,303400,12640,32.6,6.65,7682,843,8699,1312,0.884,29.6,18.3,609,286
95,91,HE 800 B,262.3,800,300,17.5,33,30,674,4.55,38.5,359100,14900,32.8,6.68,8977,994,10230,1553,0.884,25.6,21.9,959,334
96,92,HE 800 M,317.3,814,303,21,40,30,674,3.79,32.1,442600,18630,33.1,6.79,10870,1230,12490,1930,0.884,21.6,27.9,1657,404
97,93,HE 900 AA,198,870,300,15,20,30,770,7.5,51.3,301100,9041,34.6,5.99,6923,603,7999,958,0.857,42.6,16.3,322,252
98,94,HE 900 A,251.6,890,300,16,30,30,770,5,48.1,422100,13550,36.3,6.5,9485,903,10810,1414,0.878,31.8,25,749,321
99,95,HE 900 B,291.5,900,300,18.5,35,30,770,4.29,41.6,494100,15820,36.5,6.53,10980,1054,12580,1658,0.878,27.8,29.6,1150,371
100,96,HE 900 M,332.5,910,302,21,40,30,770,3.77,36.7,570400,18450,36.7,6.6,12540,1222,14440,1929,0.878,24.7,34.9,1683,424
101,97,HE 1000 A,221.5,970,300,16,21,30,868,7.14,54.3,406500,9501,38,5.8,8380,633,9777,1016,0.849,45.9,21.4,387,282
102,98,HE 1000 A,272.3,990,300,16.5,31,30,868,4.84,52.6,553800,14000,40,6.35,11190,934,12820,1470,0.873,35,32.2,835,347
103,99,HE 1000 B,314,1000,300,19,36,30,868,4.17,45.7,644700,16280,40.1,6.38,12890,1085,14860,1716,0.872,30.7,37.8,1267,400
104,100,HE 1000 M,348.7,1008,302,21,40,30,868,3.77,41.3,722300,18460,40.3,6.45,14330,1222,16570,1940,0.872,27.9,43.2,1713,444
