id,sec,Mass,Depth,Width,Thickness of,,Root,Depth,Ratios for,,Second Moment,,Radius,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area,Shape
308,ISA200X150X18,46.91159843,200,150,18,18,,,,,2359.3999023,1136.9000244,360,270,146.0024684,131.1303361,172.5,101.9000015,,,,645.40802,59.759998,angle
307,ISHB225-2,46.8331,225,225,9.1,8.6,,,,,5478.799805,1396.5999756,193.5,341.25,487.0044271,124.1422201,487,123,,,,156.8811131,59.66,I
306,ISLC400,45.72625,400,100,14,8,,,,,13989.5,460.3999939,320,280,699.475,60.2617785,699.5,60.2000008,,,,246.4213371,58.25,channel
305,ISA200X200X15,45.372999215,200,200,15,15,,,,,2197.6999512,2197.6999512,300,300,151.4610556,151.4610556,151.3999939,151.3999939,,,,433.125,57.799999,angle
304,ISMB300,44.16409843,300,140,12.4,7.5,,,,,8603.599609,453.8999939,225,289.33332,573.5733073,64.8428563,573.5999756,64.8000031,,,,216.6515732,56.259998,I
303,ISHB225-1,43.127899215,225,225,9.1,6.5,,,,,5279.5,1353.8000488,146.25,341.25,469.2888889,120.3377821,469.2999878,120.3000031,,,,131.9664669,54.939999,I
302,ISLB325,43.09650157,325,165,9.8,7,,,,,9874.599609,510.7999878,227.5,269.50001,607.6676683,61.91515,607.7000122,61.9000015,,,,138.4485245,54.900002,I
301,ISMC350,42.1231,350,100,13.5,8.1,,,,,10008,430.6000061,283.5,270,571.8857143,56.9576732,571.9000244,57,,,,221.2434769,53.66,channel
300,ISWB250,40.859249215,250,200,9,6.7,,,,,5943.100098,857.5,167.5,300,475.4480078,85.75,475.3999939,85.6999969,,,,120.4590034,52.049999,I
299,ISHB200-2,39.987899215,200,200,9,7.8,,,,,3721.800049,994.5999756,156,300,372.1800049,99.4599976,372.2000122,98.5999985,,,,125.9894848,50.939999,I
298,ISA150X150X18,39.870150785,150,150,18,18,,,,,1048.9000244,1048.9000244,270,270,98.7664817,98.7664817,98.6999969,98.6999969,,,,548.2080078,50.790001,angle
297,ISA200X150X15,39.44625,200,150,15,15,,,,,2005.5999756,969.9000244,300,225,123.1941019,110.2159095,145.3999939,86,,,,376.875,50.25,angle
296,ISNB250H,38.8575,273,0,0,5.9,,,,,4412,4412,256.05824,256.05824,323.2234523,323.2234523,323,323,,,,88240,49.5,pipe
295,ISLC350,38.833950785,350,100,12.5,7.4,,,,,9312.599609,394.6000061,259,250,532.1485491,51.9894612,532.0999756,52,,,,174.1076088,49.470001,channel
294,ISLB300,37.74280157,300,150,9.4,6.7,,,,,7332.899902,376.2000122,201,235,488.8599935,50.1600016,488.8999939,50.2000008,,,,111.2499142,48.080002,I
