id,section,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
35,96.0x48.0x4.8,9.66,96.0,48.0,4.8,4.8,,,5,20,134.35,44.55,3.30,1.90,36.13,22.08,27.99,18.56,,,,,12.31
36,88.9 x 88.9 x 3.6,9.38,88.9,88.9,3.6,3.6,,,12.3472222222222,24.6944444444444,142.83,142.83,3.46,3.46,37.85,37.85,32.13,32.13,,,,,11.95
37,127.0x50.0x3.6,9.34,127.0,50.0,3.6,3.6,,,6.94444444444445,35.2777777777778,227.08,52.05,4.37,2.09,45.95,23.70,35.76,20.82,,,,,11.89
38,75.0 x 75.0 x 4.0,8.59,75.0,75.0,4.0,4.0,,,9.375,18.75,90.19,90.19,2.87,2.87,28.76,28.76,24.05,24.05,,,,,10.95
39,100.0x50.0x4.0,8.59,100.0,50.0,4.0,4.0,,,6.25,25,134.14,44.95,3.50,2.03,34.10,20.93,26.83,17.98,,,,,10.95
40,72.0 x 72.0 x 4.0,8.22,72.0,72.0,4.0,4.0,,,9,18,79.03,79.03,2.75,2.75,26.32,26.32,21.95,21.95,,,,,10.47
41,96.0x48.0x4.0,8.22,96.0,48.0,4.0,4.0,,,6,24,117.54,39.32,3.55,1.94,31.21,19.14,24.49,16.30,,,,,10.47
42,63.5 x 63.5 x 4.5,7.93,63.5,63.5,4.5,4.5,,,7.05555555555556,14.1111111111111,57.00,57.00,2.38,2.38,21.93,21.93,17.95,17.95,,,,,10.10
43,75.0 x 75.0 x 3.2,7.01,75.0,75.0,3.2,3.2,,,11.71875,23.4375,75.53,75.53,2.91,2.91,23.79,23.79,20.41,20.41,,,,,8.93
44,100.0x50.0x3.2,7.01,100.0,50.0,3.2,3.2,,,7.8125,31.25,112.29,37.95,3.55,2.06,28.20,17.37,22.46,15.18,,,,,14.93
45,72.0 x 72.0 x 3.2,6.71,72.0,72.0,3.2,3.2,,,11.25,22.5,66.32,66.32,2.79,2.79,21.80,21.80,18.42,18.42,,,,,8.54
46,80.0x40.0x4.0,6.71,80.0,40.0,4.0,4.0,,,5,20,64.79,21.49,2.75,1.59,20.91,12.77,16.20,10.74,,,,,8.55
47,122.0x61.0x3.6,6.67,122.0,61.0,3.6,3.6,,,8.47222222222222,33.8888888888889,232.61,78.83,4.34,2.35,47.71,29.42,38.13,25.84,,,,,12.32
48,63.5 x 63.5 x 3.6,6.51,63.5,63.5,3.6,3.6,,,8.81944444444445,17.6388888888889,48.55,48.55,2.42,2.42,18.36,18.36,15.29,15.29,,,,,8.29
49,49.5 x 49.5 x 4.5,5.95,49.5,49.5,4.5,4.5,,,5.5,11,24.64,24.64,1.80,1.80,12.47,12.47,9.96,9.96,,,,,7.58
