,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Centre of Gravity Cyy,Moment of Inertia,Unnamed: 9,Raddi of Gyration,Unnamed: 11,Modulli of Section,Unnamed: 13
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm, cm,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1
3,4,ISHT 75,15.3,19.49,75.0,150.0,9.0,8.4,1.62,96.2,230.2,2.22,3.44,16.4,30.1
4,5,ISHT 100,20.0,25.47,100.0,200.0,9.0,7.8,1.91,193.8,497.3,2.76,4.42,24,49.3
5,6,ISHT 125,27.4,34.85,125.0,250.0,9.7,8.8,2.37,415.4,1005.8,3.45,5.37,41,79.9
6,7,ISHT 150,29.4,37.42,150.0,250.0,10.6,7.6,2.66,573.7,1096.8,3.92,5.41,46.5,87.7
