ID,SECTION,WT,H,B,TW,TF,R1,R2,B2T,DS,IXX,IYY,RXX,RYY,ZXX,ZYY,SXX,SYY,U,X,H2,J,AREA
29,100 NB: 114.3x4.5 ,0.0,114.3,114.3,4.5,4.5,0.0,0.0,12.7,25.4,2343200,2343200,0.0,0.0,54282.56,54282.56,0.0,0.0,0.0,0.0,0.0,0.0,1552
30,100 NB: 114.3x5.4 ,0.0,114.3,114.3,5.4,5.4,0.0,0.0,10.583333333333332,21.166666666666664,2745400,2745400,0.0,0.0,64092.22,64092.22,0.0,0.0,0.0,0.0,0.0,0.0,1847
31,110 NB: 127x4.5 ,0.0,127.0,127.0,4.5,4.5,0.0,0.0,14.11111111111111,28.22222222222222,3252900,3252900,0.0,0.0,67558.5,67558.5,0.0,0.0,0.0,0.0,0.0,0.0,1732
32,110 NB: 127x4.8 ,0.0,127.0,127.0,4.8,4.8,0.0,0.0,13.229166666666668,26.458333333333336,3445000,3445000,0.0,0.0,71714.5,71714.5,0.0,0.0,0.0,0.0,0.0,0.0,1843
33,110 NB: 127x5.4 ,0.0,127.0,127.0,5.4,5.4,0.0,0.0,11.759259259259258,23.518518518518515,3820400,3820400,0.0,0.0,79899.91,79899.91,0.0,0.0,0.0,0.0,0.0,0.0,2063
34,125 NB: 139.7x4.5 ,0.0,139.7,139.7,4.5,4.5,0.0,0.0,15.52222222222222,31.04444444444444,4372000,4372000,0.0,0.0,82286.05,82286.05,0.0,0.0,0.0,0.0,0.0,0.0,1911
35,125 NB: 139.7x4.8 ,0.0,139.7,139.7,4.8,4.8,0.0,0.0,14.552083333333332,29.104166666666664,4633300,4633300,0.0,0.0,87387.31,87387.31,0.0,0.0,0.0,0.0,0.0,0.0,2034
36,125 NB: 139.7x5.4 ,0.0,139.7,139.7,5.4,5.4,0.0,0.0,12.935185185185183,25.870370370370367,5145000,5145000,0.0,0.0,97449.53,97449.53,0.0,0.0,0.0,0.0,0.0,0.0,2278
37,135 NB: 152.4x4.5 ,0.0,152.4,152.4,4.5,4.5,0.0,0.0,16.933333333333334,33.86666666666667,5722400,5722400,0.0,0.0,98465.22,98465.22,0.0,0.0,0.0,0.0,0.0,0.0,2091
38,135 NB: 152.4x4.8 ,0.0,152.4,152.4,4.8,4.8,0.0,0.0,15.875000000000002,31.750000000000004,6067600,6067600,0.0,0.0,104608.51,104608.51,0.0,0.0,0.0,0.0,0.0,0.0,2226
39,135 NB: 152.4x5.4 ,0.0,152.4,152.4,5.4,5.4,0.0,0.0,14.11111111111111,28.22222222222222,6745100,6745100,0.0,0.0,116741.09,116741.09,0.0,0.0,0.0,0.0,0.0,0.0,2494
40,150 NB: 165.1x4.5 ,0.0,165.1,165.1,4.5,4.5,0.0,0.0,18.344444444444445,36.68888888888889,7325700,7325700,0.0,0.0,116096.0,116096.0,0.0,0.0,0.0,0.0,0.0,0.0,2270
41,150 NB: 165.1x4.8 ,0.0,165.1,165.1,4.8,4.8,0.0,0.0,17.197916666666668,34.395833333333336,7771300,7771300,0.0,0.0,123378.1,123378.1,0.0,0.0,0.0,0.0,0.0,0.0,2417
42,150 NB: 165.1x5.4 ,0.0,165.1,165.1,5.4,5.4,0.0,0.0,15.287037037037036,30.574074074074073,8647000,8647000,0.0,0.0,137774.57,137774.57,0.0,0.0,0.0,0.0,0.0,0.0,2709
43,150 NB: 165.1x5.9 ,0.0,165.1,165.1,5.9,5.9,0.0,0.0,13.991525423728811,27.983050847457623,9700000,9700000,0.0,0.0,149601.84,149601.84,0.0,0.0,0.0,0.0,0.0,0.0,2950
44,150 NB: 165.1x6.3 ,0.0,165.1,165.1,6.3,6.3,0.0,0.0,13.103174603174603,26.206349206349206,9922800,9922800,0.0,0.0,158953.22,158953.22,0.0,0.0,0.0,0.0,0.0,0.0,3143
45,150 NB: 165.1x8.0 ,0.0,165.1,165.1,8.0,8.0,0.0,0.0,10.31875,20.6375,12212500,12212500,0.0,0.0,197613.95,197613.95,0.0,0.0,0.0,0.0,0.0,0.0,3948
46,150A NB: 168.3x4.5 ,0.0,168.3,168.3,4.5,4.5,0.0,0.0,18.700000000000003,37.400000000000006,7772200,7772200,0.0,0.0,120767.36,120767.36,0.0,0.0,0.0,0.0,0.0,0.0,2316
47,150A NB: 168.3x4.8 ,0.0,168.3,168.3,4.8,4.8,0.0,0.0,17.531250000000004,35.06250000000001,8245700,8245700,0.0,0.0,128351.66,128351.66,0.0,0.0,0.0,0.0,0.0,0.0,2466
48,150A NB: 168.3x5.4 ,0.0,168.3,168.3,5.4,5.4,0.0,0.0,15.583333333333334,31.166666666666668,9176900,9176900,0.0,0.0,143349.1,143349.1,0.0,0.0,0.0,0.0,0.0,0.0,2764
49,150A NB: 168.3x6.3 ,0.0,168.3,168.3,6.3,6.3,0.0,0.0,13.357142857142858,26.714285714285715,10534200,10534200,0.0,0.0,165420.55,165420.55,0.0,0.0,0.0,0.0,0.0,0.0,3206
50,150A NB: 168.3x8.0 ,0.0,168.3,168.3,8.0,8.0,0.0,0.0,10.51875,21.0375,12972700,12972700,0.0,0.0,205739.39,205739.39,0.0,0.0,0.0,0.0,0.0,0.0,4029
51,150A NB: 168.3x10.0 ,0.0,168.3,168.3,10.0,10.0,0.0,0.0,8.415000000000001,16.830000000000002,15639800,15639800,0.0,0.0,250922.23,250922.23,0.0,0.0,0.0,0.0,0.0,0.0,4973
52,175 NB: 193.7x4.8 ,0.0,193.7,193.7,4.8,4.8,0.0,0.0,20.177083333333332,40.354166666666664,12713900,12713900,0.0,0.0,171316.27,171316.27,0.0,0.0,0.0,0.0,0.0,0.0,2849
53,175 NB: 193.7x5.4 ,0.0,193.7,193.7,5.4,5.4,0.0,0.0,17.935185185185183,35.87037037037037,14169700,14169700,0.0,0.0,191519.69,191519.69,0.0,0.0,0.0,0.0,0.0,0.0,3194
54,175 NB: 193.7x5.9 ,0.0,193.7,193.7,5.9,5.9,0.0,0.0,16.415254237288135,32.83050847457627,15361300,15361300,0.0,0.0,208154.62,208154.62,0.0,0.0,0.0,0.0,0.0,0.0,3481
55,175 NB: 193.7x6.3 ,0.0,193.7,193.7,6.3,6.3,0.0,0.0,15.373015873015872,30.746031746031743,16300500,16300500,0.0,0.0,221331.54,221331.54,0.0,0.0,0.0,0.0,0.0,0.0,3709
56,175 NB: 193.7x8.0 ,0.0,193.7,193.7,8.0,8.0,0.0,0.0,12.10625,24.2125,20155400,20155400,0.0,0.0,276046.59,276046.59,0.0,0.0,0.0,0.0,0.0,0.0,4667
57,175 NB: 193.7x10.0 ,0.0,193.7,193.7,10.0,10.0,0.0,0.0,9.684999999999999,19.369999999999997,24415900,24415900,0.0,0.0,337790.23,337790.23,0.0,0.0,0.0,0.0,0.0,0.0,5771
58,175 NB: 193.7x12.0 ,0.0,193.7,193.7,12.0,12.0,0.0,0.0,8.070833333333333,16.141666666666666,28392000,28392000,0.0,0.0,396754.68,396754.68,0.0,0.0,0.0,0.0,0.0,0.0,6850
59,200 NB: 219.1x4.8 ,0.0,219.1,219.1,4.8,4.8,0.0,0.0,22.822916666666668,45.645833333333336,18560300,18560300,0.0,0.0,220474.42,220474.42,0.0,0.0,0.0,0.0,0.0,0.0,3232
60,200 NB: 219.1x5.6 ,0.0,219.1,219.1,5.6,5.6,0.0,0.0,19.5625,39.125,21416100,21416100,0.0,0.0,255319.14,255319.14,0.0,0.0,0.0,0.0,0.0,0.0,3756
61,200 NB: 219.1x5.9 ,0.0,219.1,219.1,5.9,5.9,0.0,0.0,18.56779661016949,37.13559322033898,22470100,22470100,0.0,0.0,268248.48,268248.48,0.0,0.0,0.0,0.0,0.0,0.0,3952
62,200 NB: 219.1x6.3 ,0.0,219.1,219.1,6.3,6.3,0.0,0.0,17.38888888888889,34.77777777777778,23861400,23861400,0.0,0.0,285371.54,285371.54,0.0,0.0,0.0,0.0,0.0,0.0,4212
63,200 NB: 219.1x8 ,0.0,219.1,219.1,8.0,8.0,0.0,0.0,13.69375,27.3875,29596300,29596300,0.0,0.0,356676.35,356676.35,0.0,0.0,0.0,0.0,0.0,0.0,5306
64,200 NB: 219.1x10 ,0.0,219.1,219.1,10.0,10.0,0.0,0.0,10.955,21.91,35984400,35984400,0.0,0.0,437561.43,437561.43,0.0,0.0,0.0,0.0,0.0,0.0,6569
65,200 NB: 219.1x12 ,0.0,219.1,219.1,12.0,12.0,0.0,0.0,9.129166666666666,18.258333333333333,41998800,41998800,0.0,0.0,515260.92,515260.92,0.0,0.0,0.0,0.0,0.0,0.0,7807
66,225 NB: 244.5x5.9 ,0.0,244.5,244.5,5.9,5.9,0.0,0.0,20.720338983050848,41.440677966101696,31491200,31491200,0.0,0.0,335955.22,335955.22,0.0,0.0,0.0,0.0,0.0,0.0,4423
67,225 NB: 244.5x6.3 ,0.0,244.5,244.5,6.3,6.3,0.0,0.0,19.404761904761905,38.80952380952381,33460300,33460300,0.0,0.0,357540.56,357540.56,0.0,0.0,0.0,0.0,0.0,0.0,4714
68,225 NB: 244.5x8 ,0.0,244.5,244.5,8.0,8.0,0.0,0.0,15.28125,30.5625,41604500,41604500,0.0,0.0,447628.67,447628.67,0.0,0.0,0.0,0.0,0.0,0.0,5944
69,225 NB: 244.5x10 ,0.0,244.5,244.5,10.0,10.0,0.0,0.0,12.225,24.45,50731500,50731500,0.0,0.0,550235.83,550235.83,0.0,0.0,0.0,0.0,0.0,0.0,7367
70,250 NB: 273x5.9 ,0.0,273.0,273.0,5.9,5.9,0.0,0.0,23.135593220338983,46.271186440677965,44171800,44171800,0.0,0.0,420988.68,420988.68,0.0,0.0,0.0,0.0,0.0,0.0,4951
71,250 NB: 273x6.3 ,0.0,273.0,273.0,6.3,6.3,0.0,0.0,21.666666666666668,43.333333333333336,46958200,46958200,0.0,0.0,448195.36,448195.36,0.0,0.0,0.0,0.0,0.0,0.0,5279
72,250 NB: 273x8 ,0.0,273.0,273.0,8.0,8.0,0.0,0.0,17.0625,34.125,58517100,58517100,0.0,0.0,561970.67,561970.67,0.0,0.0,0.0,0.0,0.0,0.0,6660
73,250 NB: 273x10 ,0.0,273.0,273.0,10.0,10.0,0.0,0.0,13.65,27.3,71540900,71540900,0.0,0.0,692023.33,692023.33,0.0,0.0,0.0,0.0,0.0,0.0,8262
74,250 NB: 273x12 ,0.0,273.0,273.0,12.0,12.0,0.0,0.0,11.375,22.75,83961400,83961400,0.0,0.0,818028.0,818028.0,0.0,0.0,0.0,0.0,0.0,0.0,9839
75,300 NB: 323.9x6.3 ,0.0,323.9,323.9,6.3,6.3,0.0,0.0,25.706349206349206,51.41269841269841,79289000,79289000,0.0,0.0,635562.84,635562.84,0.0,0.0,0.0,0.0,0.0,0.0,6286
76,300 NB: 323.9x8 ,0.0,323.9,323.9,8.0,8.0,0.0,0.0,20.24375,40.4875,99100800,99100800,0.0,0.0,798513.15,798513.15,0.0,0.0,0.0,0.0,0.0,0.0,7939
77,300 NB: 323.9x10 ,0.0,323.9,323.9,10.0,10.0,0.0,0.0,16.195,32.39,121583400,121583400,0.0,0.0,985665.43,985665.43,0.0,0.0,0.0,0.0,0.0,0.0,9861
78,300 NB: 323.9x12 ,0.0,323.9,323.9,12.0,12.0,0.0,0.0,13.495833333333332,26.991666666666664,143195600,143195600,0.0,0.0,1167955.32,1167955.32,0.0,0.0,0.0,0.0,0.0,0.0,11758
79,350 NB: 355.6x8 ,0.0,355.6,355.6,8.0,8.0,0.0,0.0,22.225,44.45,132013700,132013700,0.0,0.0,966776.75,966776.75,0.0,0.0,0.0,0.0,0.0,0.0,8736
80,350 NB: 355.6x10 ,0.0,355.6,355.6,10.0,10.0,0.0,0.0,17.78,35.56,162235000,162235000,0.0,0.0,1194726.93,1194726.93,0.0,0.0,0.0,0.0,0.0,0.0,10857
81,350 NB: 355.6x12 ,0.0,355.6,355.6,12.0,12.0,0.0,0.0,14.816666666666668,29.633333333333336,191394700,191394700,0.0,0.0,1417307.52,1417307.52,0.0,0.0,0.0,0.0,0.0,0.0,12953
