id,sec,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
113,WPB 120x120x,26.69,120,120,6.5,11,12,,,,,,,,,,,,,,,,
114,WPB 140x140x,24.66,133,140,5.5,8.5,12,,,,,,,,,,,,,,,,
115,WPB 160x160x,23.83,148,160,4.5,7,15,,,,,,,,,,,,,,,,
116,WPB 150x150x,22.96,152,152,5.8,6.8,8,,,,,,,,,,,,,,,,
117,WPB 100x100x,20.44,100,100,6,10,12,,,,,,,,,,,,,,,,
118,WPB 120x120x,19.89,114,120,5,8,12,,,,,,,,,,,,,,,,
119,WPB 140x140x,18.07,128,140,4.3,6,12,,,,,,,,,,,,,,,,
120,WPB 100x100x,16.67,96,100,5,8,12,,,,,,,,,,,,,,,,
121,WPB 120x120x,14.56,109,120,4.2,5.5,12,,,,,,,,,,,,,,,,
122,WPB 100x100x,12.24,91,100,4.2,5.5,12,,,,,,,,,,,,,,,,
