id,section,wt,h,b,s(tw),t(tf),r1,r2,b/2t,d/s,ix,iy,rx,ry,zx,zy,sx,sy,u,x,H,J,area
,ISHB 200(2),40,200,200,7.8,9,9,4.5,11.1111111111111,25.6410256410256,3721.8,994.6,8.55,4.42,372.2,98.6,372.2000122,98.5999985,,,,,50.94
,ISLB 300,37.7,300,150,6.7,9.4,15,7.5,7.97872340425532,22.3880597014925,7332.9,376.2,12.35,2.8,488.9,50.2,488.8999939,50.2000008,,,,,48.08
,ISHB 200(1),37.3,200,200,6.1,9,13,6.5,11.1111111111111,32.7868852459016,3608.4,967.1,8.71,4.51,360.8,96.7,410.5,53.5,,,,,47.54
,ISMB 250,37.3,250,125,6.9,12.5,9,4.5,5,18.1159420289855,5131.6,334.5,10.39,2.65,410.5,53.5,360.7999878,96.6999969,,,,,47.55
,ISHB 150(3),34.6,150,150,11.8,9,8,4,8.33333333333333,12.7118644067797,1635.6,494.9,6.09,3.35,218.1,63.2,218.1000061,63.2000008,,,,,44.08
,ISWB 225,33.9,225,150,6.4,9.9,9,4.5,7.57575757575758,23.4375,3920.5,448.6,9.52,3.22,348.5,59.8,348.5,59.7999992,,,,,43.24
,ISLB 275,33,275,140,6.4,8.8,14,7,7.95454545454545,21.875,5375.3,287,11.31,2.61,392.4,41,392.3999939,41,,,,,42.02
,ISMB 225,31.2,225,110,6.5,11.8,12,6,4.66101694915254,16.9230769230769,3441.8,218.3,9.31,2.34,305.9,39.7,305.8999939,39.7000008,,,,,39.72
,ISHB 150(2),30.6,150,150,8.4,9,8,4,8.33333333333333,17.8571428571429,1540,460.3,6.29,3.44,205.3,60.2,205.3000031,60.2000008,,,,,38.98
,ISWB 200,28.8,200,140,6.1,9,9,4.5,7.77777777777778,22.9508196721312,2624.5,328.8,8.46,2.99,262.5,47,262.5,47,,,,,36.71
,ISLB 250,27.9,250,125,6.1,8.2,13,6.5,7.6219512195122,20.4918032786885,3717.8,193.4,10.23,2.33,297.4,30.9,297.3999939,30.8999996,,,,,35.53
,ISHB 150(1),27.1,150,150,5.4,9,8,4,8.33333333333333,27.7777777777778,1455.6,431.7,6.5,3.54,194.1,57.6,194.1000061,57.5999985,,,,,34.48
,ISMB 200,25.4,200,100,5.7,10.8,11,5.5,4.62962962962963,17.5438596491228,2235.4,150,8.32,2.15,223.5,30,223.5,30,,,,,32.33
,ISLB 225,23.5,225,100,5.8,8.6,12,6,5.81395348837209,17.2413793103448,2501.9,112.7,9.15,1.94,222.4,22.5,222.3999939,22.5,,,,,29.92
,ISWB 175,22.1,175,125,5.8,7.4,8,4,8.44594594594595,21.551724137931,1509.4,188.6,7.33,2.59,172.5,30.2,172.5,30.2000008,,,,,28.11
,ISLB 200,19.8,200,100,5.4,7.3,9.5,3,6.84931506849315,18.5185185185185,1696.6,115.4,8.19,2.13,169.7,23.1,169.6999969,23.1000004,,,,,25.27
,ISMB 175,19.3,175,90,5.5,8.6,10,5,5.23255813953488,16.3636363636364,1272,85,7.19,1.86,145.4,18.9,145.3999939,18.8999996,,,,,24.62
,ISWB 150,17,150,100,5.4,7,8,4,7.14285714285714,18.5185185185185,839.1,94.8,6.22,2.09,111.9,19,111.9000015,19,,,,,21.67
,ISLB 175,16.7,175,90,5.1,6.9,9.5,3,6.52173913043478,17.6470588235294,1096.2,79.6,7.17,1.93,125.3,17.7,125.3000031,17.7000008,,,,,21.3
,ISMB 150,14.9,150,80,4.8,7.6,9,4.5,5.26315789473684,16.6666666666667,726.4,52.6,6.18,1.66,96.9,13.1,96.9000015,13.1000004,,,,,19
,ISLB 150,14.2,150,80,4.8,6.8,9.5,3,5.88235294117647,16.6666666666667,688.2,55.2,6.17,1.75,91.8,13.8,91.8000031,13.8000002,,,,,18.08
,ISMB 125,13,125,75,4.4,7.6,9,4.5,4.93421052631579,17.0454545454545,449,43.7,5.2,1.62,71.8,11.7,71.8000031,11.6999998,,,,,16.6
,ISJB 225,12.8,225,80,3.7,5,6.5,1.5,8,21.6216216216216,1308.5,40.5,8.97,1.58,116.3,10.1,116.3000031,10.1000004,,,,,16.28
,ISLB 125,11.9,125,75,4.4,6.5,8,3,5.76923076923077,17.0454545454545,406.8,43.4,5.19,1.69,65.1,11.6,65.0999985,11.6000004,,,,,15.12
,ISMB 100,11.5,100,75,4,7.2,9,4.5,5.20833333333333,18.75,257.5,40.8,4.2,1.67,51.5,10.9,51.5,10.8999996,,,,,14.6
,ISJB 200,9.9,200,60,3.4,5,5,1.5,6,17.6470588235294,780.7,17.3,7.86,1.17,78.1,5.8,78.0999985,5.8000002,,,,,12.64
,ISJB 175,8.1,175,50,3.2,4.8,5,1.5,5.20833333333333,15.625,479.3,9.7,6.83,0.97,54.8,3.9,54.7999992,3.9000001,,,,,10.28
,ISLB 100,8,100,50,4,6.4,7,3,3.90625,12.5,168,12.7,4.06,1.12,33.6,5.1,33.5999985,5.0999999,,,,,10.21
,ISJB 150,7.1,150,50,3,4.6,5,1.5,5.43478260869565,16.6666666666667,322.1,9.2,5.98,1.01,42.9,3.7,42.9000015,3.7,,,,,9.01
,ISLB 75,6.1,75,50,3.7,5,6.5,2,5,13.5135135135135,72.7,10,3.07,1.14,19.4,4,19.3999996,4,,,,,7.71
