ID,SECTION,AREA,H,B,IXX,IYY,ZXX,ZYY
64,200 NB: 219.1x10 Dimensions,6569,219.1,219.1,35984400,35984400,437561.43,437561.43
65,200 NB: 219.1x12 Dimensions,7807,219.1,219.1,41998800,41998800,515260.92,515260.92
66,225 NB: 244.5x5.9 Dimensions,4423,244.5,244.5,31491200,31491200,335955.22,335955.22
67,225 NB: 244.5x6.3 Dimensions,4714,244.5,244.5,33460300,33460300,357540.56,357540.56
68,225 NB: 244.5x8 Dimensions,5944,244.5,244.5,41604500,41604500,447628.67,447628.67
69,225 NB: 244.5x10 Dimensions,7367,244.5,244.5,50731500,50731500,550235.83,550235.83
70,250 NB: 273x5.9 Dimensions,4951,273,273,44171800,44171800,420988.68,420988.68
71,250 NB: 273x6.3 Dimensions,5279,273,273,46958200,46958200,448195.36,448195.36
72,250 NB: 273x8 Dimensions,6660,273,273,58517100,58517100,561970.67,561970.67
73,250 NB: 273x10 Dimensions,8262,273,273,71540900,71540900,692023.33,692023.33
74,250 NB: 273x12 Dimensions,9839,273,273,83961400,83961400,818028,818028
75,300 NB: 323.9x6.3 Dimensions,6286,323.9,323.9,79289000,79289000,635562.84,635562.84
76,300 NB: 323.9x8 Dimensions,7939,323.9,323.9,99100800,99100800,798513.15,798513.15
77,300 NB: 323.9x10 Dimensions,9861,323.9,323.9,121583400,121583400,985665.43,985665.43
78,300 NB: 323.9x12 Dimensions,11758,323.9,323.9,143195600,143195600,1167955.32,1167955.32
79,350 NB: 355.6x8 Dimensions,8736,355.6,355.6,132013700,132013700,966776.75,966776.75
80,350 NB: 355.6x10 Dimensions,10857,355.6,355.6,162235000,162235000,1194726.93,1194726.93
81,350 NB: 355.6x12 Dimensions,12953,355.6,355.6,191394700,191394700,1417307.52,1417307.52
