,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Centre of Gravity Cyy,Moment of Inertia,Unnamed: 9,Raddi of Gyration,Unnamed: 11,Modulli of Section,Unnamed: 13
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm, cm,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1
3,4,ISJT 75,3.5,4.5,75.0,50.0,4.6,3.0,2,24.8,4.6,2.35,1.01,4.5,1.8
4,5,ISJT 87.5,4.0,5.14,87.5,50.0,4.8,3.2,2.5,39,4.8,2.75,0.97,6.2,1.9
5,6,ISJT 100,5.0,6.32,100.0,60.0,5.0,3.4,2.81,63.5,8.6,3.17,1.17,8.8,2.9
6,7,ISJT 112.5,6.4,8.14,112.5,80.0,5.0,3.7,3.01,101.6,20.2,3.53,1.58,12.3,5.1
