,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Moment of Inertia,Unnamed: 8,Raddi of Gyration,Unnamed: 10,Modulli of Section,Unnamed: 12
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
69,70,ISHB 150,30.6,38.98,150.0,150.0,9.0,8.4,1540,460.3,6.29,3.44,205.3,60.2
70,71,ISHB 150,34.6,44.08,150.0,150.0,9.0,11.8,1635.6,494.9,6.09,3.35,218.1,63.2
72,73,ISHB 200,37.3,47.54,200.0,200.0,9.0,6.1,3608.4,967.1,8.71,4.51,360.8,96.7
73,74,ISHB 200,40.0,50.94,200.0,200.0,9.0,7.8,3721.8,994.6,8.55,4.42,372.2,98.6
74,75,ISHB 225,43.1,54.94,225.0,225.0,9.1,6.5,5279.5,1353.8,9.8,4.96,469.3,120.3
76,77,ISHB 225,46.8,59.66,225.0,225.0,9.1,8.6,5478.8,1396.6,9.58,4.84,487,123
77,78,ISHB 250,51.0,64.96,250.0,250.0,9.7,6.9,7736.5,1961.3,10.91,5.49,618.9,156.9
78,79,ISHB 250,54.7,69.71,250.0,250.0,9.7,8.8,7983.9,2011.7,10.7,5.37,638.7,159.7
80,81,ISHB 300,58.8,74.85,300.0,250.0,10.6,7.6,12345.2,2193.6,12.95,5.41,836.3,175.5
81,82,ISHB 300,63.0,80.25,300.0,250.0,10.6,9.4,12950.2,2246.7,12.7,5.29,863.3,178.4
82,83,ISHB 350,67.4,85.91,350.0,250.0,11.6,8.3,19159.7,2451.4,14.93,5.34,1094.8,196.1
84,85,ISHB 350,72.4,92.21,350.0,250.0,11.6,10.1,19802.8,2510.5,14.65,5.22,1131.6,199.4
85,86,ISHB 400,77.4,98.66,400.0,250.0,12.7,9.1,28083.5,2728.3,16.87,5.26,1404.2,218.3
86,87,ISHB 400,82.2,104.66,400.0,250.0,12.7,10.6,28823.5,2783,16.61,5.16,1444.2,221.3
88,89,ISHB 450,87.2,111.14,450.0,250.0,13.7,9.8,39210.8,2985.2,18.78,5.18,1742.7,238.8
89,90,ISHB 450,92.5,117.89,450.0,250.0,13.7,11.3,40349.9,3045,18.5,5.08,1793.3,242.1
