,Unnamed: 0_level_0,Designation,Weight per Meter (w),Sectional Area (a),Depth of Section (h),Width of flange (b),Thickness of Flange (tf),Thickness of Web (tw),Centre of Gravity Cyy,Moment of Inertia,Unnamed: 9,Raddi of Gyration,Unnamed: 11,Modulli of Section,Unnamed: 13
,0,Unnamed: 1_level_1,kg,   cm2, mm,mm, mm, mm, cm,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1
3,4,ISLT 50,4.0,5.11,50.0,50.0,6.4,4,1.19,9.9,6.4,1.39,1.12,2.6,2.5
4,5,ISLT 75,7.1,9.04,75.0,80.0,6.8,4.8,1.72,41.9,27.6,2.15,1.75,7.2,6.9
5,6,ISLT 100,12.7,16.16,100.0,100.0,10.8,5.7,2.13,116.6,75,2.69,2.15,14.8,15
