,"Section
Name",Shape,Depth,"Width
Top","Thick
 Top","Thick
Web ","Width
 Bot","Thick 
Bot",Area,"Wt 
ton/m","Wt 
KN/m","Torsion 
Const", Ixx , Iyy ,"Shear area 
xx","Shear area
 YY","Secton modulus 
XX","Secton modulus 
yy","Plastic modulus 
XX","Plastic modulus 
yy",rxx,ryy,"Section
Name",L
,ISA20X20X3,Angle,20,20,3,3,0,0,112,0.001,0.009, 333 ," 4,000 "," 4,000 ",60.00,60.00, 284 , 284 , 300 , 300 ,5.98,5.98,ISA20X20X3.1,Unnamed: 23_level_1
102,ISA100X100X10,Angle,100,100,10,10,0,0,1903,0.015,0.149," 63,333 "," 17,70,000 "," 17,70,000 ",1000.0,1000.0," 24,721 "," 24,721 "," 24,700 "," 24,700 ",30.5,30.5,ISA100X100X10,475.445689347066
